Designator,Mid X,Mid Y,Rotation,Layer
C1,78.0,-88.27,270.0,top
C10,92.0,-68.25,90.0,top
C11,99.4,-67.735,270.0,top
C12,84.28,-66.16,180.0,top
C13,100.17,-70.275,270.0,top
C14,107.995,-67.855,180.0,top
C15,102.15,-71.33,0.0,top
C16,117.25,-103.52,270.0,top
C17,100.5,-81.02,270.0,top
C2,82.225,-83.1,0.0,top
C3,74.2,-73.73238,90.0,top
C4,81.93238,-62.0,180.0,top
C5,87.2,-69.89,90.0,top
C6,107.02,-69.66,270.0,top
C7,86.9,-67.385,90.0,top
C8,78.725,-69.41,180.0,top
C9,79.8,-67.68,90.0,top
D1,75.25,-90.0,270.0,top
H1,75.0,-104.0,0.0,top
H2,72.6,-57.2,0.0,top
H3,120.0,-35.0,0.0,top
H6,120.0,-89.0,0.0,top
J1,76.19,-107.5,90.0,top
J2,73.55,-64.9725,270.0,top
J3,116.08,-107.5,270.0,top
J4,95.43,-107.5,270.0,top
J5,82.5,-54.5,0.0,top
J6,80.555,-43.7325,180.0,top
J7,99.0,-54.5,0.0,top
J8,100.445,-43.7325,180.0,top
L1,76.15,-83.0,180.0,top
R1,85.75,-86.575,270.0,top
R10,101.42,-62.825,270.0,top
R11,103.845,-63.38,0.0,top
R12,107.095,-62.58,0.0,top
R13,107.995,-66.18,0.0,top
R14,107.095,-64.33,0.0,top
R15,100.5,-84.325,270.0,top
R16,119.5,-102.175,270.0,top
R2,85.75,-89.99,270.0,top
R3,112.22,-71.005,90.0,top
R4,83.125,-73.01,180.0,top
R5,79.875,-73.01,0.0,top
R6,80.7,-75.435,270.0,top
R7,78.725,-71.16,180.0,top
R8,83.275,-75.01,0.0,top
R9,116.42,-63.155,270.0,top
RP2040_ZERO1,109.76,-66.62,90.0,top
U1,81.95,-88.45,90.0,top
U2,96.47,-91.3,270.0,top
U3,83.25,-69.4225,270.0,top
U4,103.67,-67.9925,90.0,top
